url,content_type_ext,content_ffb,wayback_date,crawl_date
http://www.bigblack.org.uk:80/spectrum/A/arabian.sna,.sna,3f582707,20030515181826,2003-05-15T19:18:26Z
http://www.bigblack.org.uk:80/spectrum/A/ak_chess.sna,.sna,3f58ff9b,20030515181842,2003-05-15T19:18:42Z
http://www.bigblack.org.uk:80/spectrum/A/aft_war2.sna,.sna,b858279b,20030515182000,2003-05-15T19:20:00Z
http://www.bigblack.org.uk:80/spectrum/A/alevol.z80,.z80,11f90da0,20030515182116,2003-05-15T19:21:16Z
http://www.bigblack.org.uk:80/spectrum/A/antics.sna,.sna,df58279b,20030515182352,2003-05-15T19:23:52Z
http://www.bigblack.org.uk:80/spectrum/A/aliendes.z80,.z80,006afa00,20030515182659,2003-05-15T19:26:59Z
http://www.bigblack.org.uk:80/spectrum/A/astro_m2.sna,.sna,c068df08,20030516165752,2003-05-16T17:57:52Z
http://www.bigblack.org.uk:80/spectrum/A/armym1.z80,.z80,1002fbbe,20030516165926,2003-05-16T17:59:26Z
http://www.bigblack.org.uk:80/spectrum/A/arnhem.sna,.sna,3f58279b,20030516170447,2003-05-16T18:04:47Z
http://www.bigblack.org.uk:80/spectrum/A/ashes.sna,.sna,3fffff9b,20030516170722,2003-05-16T18:07:22Z
http://www.bigblack.org.uk:80/spectrum/A/artstudio.sna,.sna,3f582738,20030516170819,2003-05-16T18:08:19Z
http://www.bigblack.org.uk:80/spectrum/A/arrow.z80,.z80,ff93fef7,20030516170855,2003-05-16T18:08:55Z
http://www.bigblack.org.uk:80/spectrum/A/arkos1.sna,.sna,3f58279b,20030516171226,2003-05-16T18:12:26Z
http://www.bigblack.org.uk:80/spectrum/A/arena.z80,.z80,ff6a2118,20030516171258,2003-05-16T18:12:58Z
http://www.bigblack.org.uk:80/spectrum/A/arma128.z80,.z80,092a1003,20030516171259,2003-05-16T18:12:59Z
http://www.bigblack.org.uk:80/spectrum/A/astro_m1.sna,.sna,3f58279b,20030516171604,2003-05-16T18:16:04Z
http://www.bigblack.org.uk:80/spectrum/A/assasini.sna,.sna,3f7f109b,20030516171827,2003-05-16T18:18:27Z
http://www.bigblack.org.uk:80/spectrum/A/arkanoid.sna,.sna,3f12ea01,20030516172214,2003-05-16T18:22:14Z
http://www.ysrnry.co.uk:80/ys3/issue13/smash.tap,.tap,13000000,20030516215014,2003-05-16T22:50:14Z
